"ID","ADU","TAXON CONCEPT ID","SCIENTIFIC NAME"
197,3088,avibase-770308E9,Apalis sharpii
198,622,avibase-B285E2B0,Apalis thoracica
199,1528,avibase-9FCF19F5,Apaloderma aequatoriale
200,393,avibase-7FED5700,Apaloderma narina
201,944,avibase-2F2CB724,Apaloderma vittatum
202,950,avibase-62797BD3,Aphrodroma brevirostris
203,890,avibase-58848B71,Aptenodytes forsteri
204,987,avibase-827A77C7,Aptenodytes patagonicus
205,385,avibase-D209A90C,Apus affinis
206,1668,avibase-1C0A5AD9,Apus alexandri
207,378,avibase-4E6EF3F9,Apus apus
208,1670,avibase-20022FF9,Apus balstoni
209,380,avibase-5086F50B,Apus barbatus
210,1672,avibase-16A54020,Apus batesi
211,1674,avibase-45D3FD5A,Apus berliozi
212,381,avibase-11507BB3,Apus bradfieldi
213,383,avibase-FA9F6019,Apus caffer
214,384,avibase-FF79A533,Apus horus
215,1676,avibase-2103011F,Apus niansae
216,379,avibase-332BC664,Apus pallidus
217,1666,avibase-8B5BD4F2,Apus sladeniae
218,1678,avibase-59A5A24E,Apus unicolor
219,2092,avibase-69742EE4,Aquila adalberti
220,2144,avibase-51FD3E3C,Aquila africana
221,2094,avibase-5F8E7CA8,Aquila chrysaetos
222,2134,avibase-05F11441,Aquila fasciata
223,2096,avibase-469DCF57,Aquila heliaca
224,135,avibase-A635F565,Aquila nipalensis
225,134,avibase-F6D547B2,Aquila rapax
226,141,avibase-9A418C45,Aquila spilogaster
227,133,avibase-14F13C32,Aquila verreauxii
228,58,avibase-49D9148A,Ardea alba
229,54,avibase-6429024D,Ardea cinerea
230,56,avibase-C7888A15,Ardea goliath
231,2186,avibase-A8EE526F,Ardea humbloti
232,60,avibase-34E27C2A,Ardea intermedia
233,55,avibase-25A648FE,Ardea melanocephala
234,57,avibase-3395DCF1,Ardea purpurea
235,881,avibase-08F22F84,Ardenna carneipes
236,25,avibase-8B879DFA,Ardenna gravis
237,29,avibase-1725B07D,Ardenna grisea
238,180,avibase-E94A7272,Ardenna pacifica
239,961,avibase-60825BF6,Ardenna tenuirostris
240,883,avibase-EA2C460A,Ardeola idae
241,62,avibase-CE73EBD7,Ardeola ralloides
242,65,avibase-AEB2DA9B,Ardeola rufiventris
243,1894,avibase-6A394479,Ardeotis arabs
244,217,avibase-4FC41CA0,Ardeotis kori
245,232,avibase-DC3050A9,Arenaria interpres
246,3440,avibase-987C8F6E,Argya aylmeri
247,3456,avibase-861DA135,Argya rubiginosa
248,1194,avibase-B421F18C,Arizelocichla chlorigula
249,2952,avibase-9144EF40,Arizelocichla kakamegae
250,2954,avibase-1EEE86B8,Arizelocichla kikuyuensis
251,555,avibase-A8A60306,Arizelocichla masukuensis
252,549,avibase-8479F56E,Arizelocichla milanjensis
253,3048,avibase-8EDD570A,Arizelocichla neumanni
254,2942,avibase-FC523946,Arizelocichla nigriceps
255,2956,avibase-37548238,Arizelocichla olivaceiceps
256,2958,avibase-E4385C2A,Arizelocichla striifacies
257,4864,avibase-DA399CC6,Arizelocichla tephrolaema
258,2304,avibase-C141B912,Artamella viridis
259,3350,avibase-5C5C1A5E,Artisornis metopias
260,3352,avibase-3D67250D,Artisornis moreaui
261,1738,avibase-250123FB,Asio abyssinicus
262,361,avibase-83E21A84,Asio capensis
263,1740,avibase-8F123A11,Asio flammeus
264,1742,avibase-D3DBC5EE,Asio madagascariensis
265,1744,avibase-FC4D40D2,Asio otus
266,1536,avibase-9D600C9B,Atelornis crossleyi
267,1538,avibase-D5C06D94,Atelornis pittoides
268,1746,avibase-9A7B268C,Athene noctua
269,5708,avibase-C73137EA,Atimastillas flavicollis
270,999,avibase-0712580C,Atlantisia rogersi
271,127,avibase-648936C0,Aviceda cuculoides
272,2098,avibase-C8E60C39,Aviceda madagascariensis
273,1294,avibase-0783A7EA,Aythya collaris
274,1296,avibase-A96692E0,Aythya ferina
275,1298,avibase-67CEA1C1,Aythya fuligula
276,1300,avibase-691757FF,Aythya innotata
